Province,UMP_2023_IDR,UMP_2024_IDR,UMP_2025_IDR,Growth_2024_to_2025_%
Aceh,3413666,3460672,3685616,6.50
Sumatera Utara,2710494,2809915,2992559,6.50
Sumatera Barat,2742476,2811449,2994193,6.50
Riau,3191663,3294626,3508776,6.50
Jambi,2943033,3037122,3234535,6.50
Sumatera Selatan,3404177,3456874,3681571,6.49
Bengkulu,2418280,2507079,2670039,6.50
Lampung,2633285,2716497,2893070,6.50
Kepulauan Bangka Belitung,3498479,3640000,3876600,6.50
Kepulauan Riau,3279194,3402492,3623654,6.50
DKI Jakarta,4901798,5067381,5396761,6.50
Jawa Barat,1986670,2057495,2191232,6.50
Jawa Tengah,1958170,2036947,2169349,6.50
DI Yogyakarta,1981782,2125898,2264081,6.50
Jawa Timur,2040244,2165244,2305985,6.50
Banten,2661280,2727812,2905120,6.50
Bali,2713672,2813672,2996561,6.50
Nusa Tenggara Barat,2371407,2444067,2602931,6.50
Nusa Tenggara Timur,2123994,2186826,2328970,6.50
Kalimantan Barat,2608602,2702616,2878286,6.50
Kalimantan Tengah,3181013,3261616,3473621,6.50
Kalimantan Selatan,3149978,3282812,3496195,6.50
Kalimantan Timur,3201396,3360858,3579314,6.50
Kalimantan Utara,3251703,3361653,3580160,6.50
Sulawesi Utara,3485000,3545000,3775425,6.50
Sulawesi Tengah,2599546,2736698,2915000,6.51
Sulawesi Selatan,3385145,3434298,3657527,6.50
Sulawesi Tenggara,2758985,2885964,3073552,6.50
Gorontalo,2989350,3025100,3221731,6.50
Sulawesi Barat,2871795,2914958,3104430,6.50
Maluku,2812828,2949953,3141700,6.50
Maluku Utara,2976720,3200000,3408000,6.50
Papua Barat,3282000,3393500,3615000,6.53
Papua,3864696,4024270,4285850,6.50
Indonesia_Avg,2923309,3133360,3315762,5.82
