Year,Period,Poverty_Line_Urban_IDR,Poverty_Line_Rural_IDR,Poor_Urban_Million,Poor_Rural_Million,Total_Poor_Million,Poverty_Rate_Urban_%,Poverty_Rate_Rural_%,National_Poverty_Rate_%
2017,March,385621,361496,10.67,17.10,27.77,7.72,13.93,10.64
2017,September,400995,370910,10.27,16.31,26.58,7.26,13.47,10.12
2018,March,415614,383908,10.14,15.81,25.95,7.02,13.20,9.82
2018,September,425770,392154,10.13,15.54,25.67,6.89,13.10,9.66
2019,March,442062,404398,9.99,15.15,25.14,6.69,12.85,9.41
2019,September,458380,418515,9.86,14.93,24.79,6.56,12.60,9.22
2020,March,471882,433281,11.16,15.26,26.42,7.38,12.82,9.78
2020,September,475477,437902,12.04,15.51,27.55,7.88,13.20,10.19
2021,March,489848,450185,12.18,15.37,27.54,7.89,13.10,10.14
2021,September,502730,464474,11.86,14.64,26.50,7.60,12.53,9.71
2022,March,521494,484209,11.82,14.34,26.16,7.50,12.29,9.54
2022,September,552349,513170,11.98,14.38,26.36,7.53,12.36,9.57
2023,March,569299,525050,11.74,14.16,25.90,7.29,12.22,9.36
2024,March,601871,556874,11.64,13.58,25.22,7.09,11.79,9.03
2024,September,615763,566655,11.05,13.01,24.06,6.66,11.34,8.57
2025,March,629561,580349,11.27,12.58,23.85,6.73,11.03,8.47
2025,September,663081,610257,11.18,12.18,23.36,6.60,10.72,8.25
