Province,HDI_2021,HDI_2022,HDI_2023,HDI_2024,HDI_2025
Aceh,73.48,74.11,74.70,75.36,76.23
Sumatera Utara,73.84,74.51,75.13,75.76,76.47
Sumatera Barat,74.56,75.16,75.64,76.43,77.27
Riau,73.89,74.45,74.95,75.67,76.31
Jambi,72.62,73.11,73.73,74.36,75.13
Sumatera Selatan,71.83,72.48,73.18,73.84,74.76
Bengkulu,73.16,73.68,74.30,74.91,75.68
Lampung,71.25,71.79,72.48,73.13,73.98
Kepulauan Bangka Belitung,72.96,73.50,74.09,74.55,75.26
Kepulauan Riau,77.87,78.48,79.08,79.89,80.53
DKI Jakarta,82.25,82.77,83.55,84.15,85.05
Jawa Barat,72.96,73.63,74.24,74.92,75.90
Jawa Tengah,72.17,72.80,73.39,73.87,74.77
DI Yogyakarta,80.22,80.65,81.09,81.62,82.48
Jawa Timur,73.48,74.05,74.65,75.35,76.13
Banten,74.68,75.25,75.77,76.35,77.25
Bali,76.69,77.40,78.01,78.63,79.37
Nusa Tenggara Barat,70.86,71.65,72.37,73.10,73.97
Nusa Tenggara Timur,67.02,67.63,68.40,69.14,69.89
Kalimantan Barat,68.99,69.71,70.47,71.19,72.09
Kalimantan Tengah,72.81,73.17,73.73,74.28,74.86
Kalimantan Selatan,73.45,74.00,74.66,75.19,76.10
Kalimantan Timur,76.60,77.36,78.20,78.79,79.39
Kalimantan Utara,71.57,72.21,72.88,73.41,74.04
Sulawesi Utara,74.03,74.52,75.04,75.68,76.32
Sulawesi Tengah,70.54,71.01,71.66,72.24,72.82
Sulawesi Selatan,73.38,73.96,74.60,75.18,75.92
Sulawesi Tenggara,71.82,72.38,72.94,73.62,74.25
Gorontalo,69.82,70.62,71.25,72.01,72.62
Sulawesi Barat,68.64,69.19,69.80,70.46,71.16
Maluku,71.55,72.04,72.75,73.40,74.09
Maluku Utara,69.56,70.26,70.98,71.84,72.52
Papua Barat,66.11,66.03,66.84,67.69,68.48
Papua Barat Daya,NA,68.60,69.07,69.65,70.55
Papua,61.40,72.57,73.23,73.83,74.69
Papua Selatan,NA,67.39,68.24,68.86,69.54
Papua Tengah,NA,58.76,59.44,60.25,60.64
Papua Pegunungan,NA,52.69,53.45,54.43,54.91
Indonesia,73.16,73.77,74.39,75.02,75.90
