Province,Age_15_24_%,Age_25_34_%,Age_35_44_%,Age_45_54_%,Age_55_64_%,Age_65plus_%
Aceh,15.75,32.61,37.36,34.63,28.30,16.36
Sumatera Utara,14.05,30.85,34.08,32.64,28.63,17.75
Sumatera Barat,18.99,35.38,38.36,36.36,30.59,20.49
Riau,15.59,34.61,36.23,34.51,28.21,21.47
Jambi,21.07,32.82,36.79,36.15,30.73,19.29
Sumatera Selatan,20.17,34.37,38.23,37.31,31.06,21.39
Bengkulu,20.70,36.51,37.71,36.06,32.79,26.29
Lampung,23.61,37.61,41.09,39.32,34.31,26.94
Kepulauan Bangka Belitung,18.03,31.00,34.84,33.75,26.74,15.64
Kepulauan Riau,12.26,28.87,28.80,31.03,25.58,17.00
DKI Jakarta,15.55,30.62,31.30,30.78,22.18,11.42
Jawa Barat,21.67,35.29,38.01,36.38,33.91,25.72
Jawa Tengah,21.82,32.31,34.81,31.26,27.39,21.64
DI Yogyakarta,17.55,26.03,29.96,27.21,20.17,16.74
Jawa Timur,19.56,31.19,33.96,32.48,28.22,21.26
Banten,20.29,35.67,37.32,36.33,31.09,21.38
Bali,9.02,23.03,27.15,25.32,16.82,7.96
Nusa Tenggara Barat,24.24,35.77,38.81,34.71,31.17,25.51
Nusa Tenggara Timur,18.21,35.37,35.30,33.14,27.70,18.61
Kalimantan Barat,17.58,32.11,34.27,31.88,27.56,19.64
Kalimantan Tengah,16.84,30.93,32.29,31.85,26.97,19.25
Kalimantan Selatan,12.94,28.77,30.09,26.99,21.06,16.81
Kalimantan Timur,13.07,25.82,27.02,27.32,23.31,13.93
Kalimantan Utara,14.24,31.57,32.77,31.66,24.37,14.75
Sulawesi Utara,13.99,28.81,34.20,30.97,27.96,17.32
Sulawesi Tengah,16.90,30.73,35.41,34.82,28.99,21.84
Sulawesi Selatan,15.13,29.16,30.91,27.45,23.22,15.11
Sulawesi Tenggara,13.69,29.98,32.85,31.41,24.90,18.89
Gorontalo,18.26,33.41,37.81,36.67,32.44,24.93
Sulawesi Barat,16.78,30.79,34.42,29.53,25.30,16.18
Maluku,14.39,32.38,35.00,36.13,27.37,19.66
Maluku Utara,13.95,33.20,35.64,36.85,33.12,23.52
Papua Barat,15.62,33.02,35.03,32.00,25.55,21.95
Papua Barat Daya,14.88,29.67,31.32,30.87,20.39,16.60
Papua,10.20,27.30,29.66,27.38,23.49,15.77
Papua Selatan,17.99,41.48,39.61,33.44,30.47,25.96
Papua Tengah,12.31,25.69,29.38,29.75,27.90,21.81
Papua Pegunungan,8.69,26.32,34.92,34.62,36.25,28.46
Indonesia,18.73,32.58,35.19,33.29,28.70,20.88
