Province,Internet_HH_2022_%,Internet_HH_2023_%,Internet_HH_2024_%,Internet_HH_2025_%
Aceh,79.85,86.46,88.95,91.91
Sumatera Utara,86.61,89.66,92.30,93.34
Sumatera Barat,87.52,89.92,91.89,94.13
Riau,91.01,93.25,94.16,95.29
Jambi,87.34,89.52,90.59,92.51
Sumatera Selatan,85.79,89.91,90.94,92.91
Bengkulu,86.43,88.82,90.62,92.83
Lampung,87.90,88.88,91.57,93.86
Kepulauan Bangka Belitung,89.81,91.16,92.14,93.84
Kepulauan Riau,95.26,95.98,97.57,98.41
DKI Jakarta,95.39,98.08,98.18,98.19
Jawa Barat,87.57,87.92,90.58,92.31
Jawa Tengah,88.24,85.61,88.89,90.67
DI Yogyakarta,89.03,90.18,89.50,91.58
Jawa Timur,85.11,84.28,86.90,88.89
Banten,91.11,91.18,93.02,95.34
Bali,91.21,87.15,92.16,94.21
Nusa Tenggara Barat,79.77,81.79,86.54,88.81
Nusa Tenggara Timur,74.23,78.88,82.45,87.28
Kalimantan Barat,84.74,88.45,92.65,94.14
Kalimantan Tengah,84.76,88.27,92.13,93.98
Kalimantan Selatan,87.21,88.45,89.22,90.39
Kalimantan Timur,93.06,92.98,95.45,96.07
Kalimantan Utara,94.27,93.75,94.58,96.18
Sulawesi Utara,83.54,85.86,89.31,91.14
Sulawesi Tengah,82.23,84.61,87.94,90.25
Sulawesi Selatan,88.33,89.52,92.18,93.92
Sulawesi Tenggara,87.60,88.69,91.70,92.84
Gorontalo,85.52,87.93,90.17,91.77
Sulawesi Barat,82.09,84.56,89.67,92.72
Maluku,82.36,82.56,87.27,92.62
Maluku Utara,77.80,81.88,87.28,91.78
Papua Barat,78.32,82.05,85.51,89.47
Papua,35.14,38.71,81.99,84.47
Papua Selatan,NA,NA,65.71,68.86
Papua Tengah,NA,NA,36.08,41.98
Papua Pegunungan,NA,NA,12.15,26.61
Indonesia,86.54,87.09,89.76,91.66
